id,dut,categories,test,description,inputs,result,messages
1,LEAF1,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
2,LEAF1,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
3,LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49 - Remote: SPINE1 Ethernet1,PASS,
4,LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50 - Remote: SPINE2 Ethernet1,PASS,
5,LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet51 - Remote: LEAF2 Ethernet51,PASS,
6,LEAF1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet52 - Remote: LEAF2 Ethernet52,PASS,
7,LEAF1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,TEST PING TO INTERNET 8.8.8.8,PASS,
8,LEAF1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
9,LEAF1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
10,LEAF1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
11,LEAF1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
12,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49 - SPINE1_Ethernet1 = 'up',PASS,
13,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50 - SPINE2_Ethernet1 = 'up',PASS,
14,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet51 - MLAG_PEER_LEAF2_Ethernet51 = 'up',PASS,
15,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet52 - MLAG_PEER_LEAF2_Ethernet52 = 'up',PASS,
16,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel49 - SPINES_Po1 = 'up',PASS,
17,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel51 - MLAG_PEER_LEAF2_Po51 = 'up',PASS,
18,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
19,LEAF1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
20,LEAF1,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
21,LEAF1,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
22,LEAF1,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
23,LEAF1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
24,LEAF1,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
25,LEAF1,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
26,LEAF1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
27,LEAF2,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
28,LEAF2,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
29,LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49 - Remote: SPINE1 Ethernet2,PASS,
30,LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50 - Remote: SPINE2 Ethernet2,PASS,
31,LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet51 - Remote: LEAF1 Ethernet51,PASS,
32,LEAF2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet52 - Remote: LEAF1 Ethernet52,PASS,
33,LEAF2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,TEST PING TO INTERNET 8.8.8.8,PASS,
34,LEAF2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
35,LEAF2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
36,LEAF2,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
37,LEAF2,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
38,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49 - SPINE1_Ethernet2 = 'up',PASS,
39,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50 - SPINE2_Ethernet2 = 'up',PASS,
40,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet51 - MLAG_PEER_LEAF1_Ethernet51 = 'up',PASS,
41,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet52 - MLAG_PEER_LEAF1_Ethernet52 = 'up',PASS,
42,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel49 - SPINES_Po1 = 'up',PASS,
43,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel51 - MLAG_PEER_LEAF1_Po51 = 'up',PASS,
44,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
45,LEAF2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
46,LEAF2,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
47,LEAF2,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
48,LEAF2,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
49,LEAF2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
50,LEAF2,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
51,LEAF2,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
52,LEAF2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
53,LEAF3,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
54,LEAF3,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
55,LEAF3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49 - Remote: SPINE1 Ethernet3,PASS,
56,LEAF3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50 - Remote: SPINE2 Ethernet3,PASS,
57,LEAF3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet51 - Remote: LEAF4 Ethernet51,PASS,
58,LEAF3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet52 - Remote: LEAF4 Ethernet52,PASS,
59,LEAF3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,TEST PING TO INTERNET 8.8.8.8,PASS,
60,LEAF3,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
61,LEAF3,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
62,LEAF3,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
63,LEAF3,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
64,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49 - SPINE1_Ethernet3 = 'up',PASS,
65,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50 - SPINE2_Ethernet3 = 'up',PASS,
66,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet51 - MLAG_PEER_LEAF4_Ethernet51 = 'up',PASS,
67,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet52 - MLAG_PEER_LEAF4_Ethernet52 = 'up',PASS,
68,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel49 - SPINES_Po3 = 'up',PASS,
69,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel51 - MLAG_PEER_LEAF4_Po51 = 'up',PASS,
70,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
71,LEAF3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
72,LEAF3,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
73,LEAF3,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
74,LEAF3,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
75,LEAF3,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
76,LEAF3,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
77,LEAF3,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
78,LEAF3,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
